entity,code,population,internetUsersPercent
Aruba,ABW,106314,97.17
Afghanistan,AFG,38041754,11.44768809
Angola,AGO,33933610, 26.4654129
Albania,ALB,2854191,69.64285467
Andorra,AND,77142,91.56746703
Arab World,ARB,427870270,63.16672849
United Arab Emirates,ARE,9770529,99.14999796
Argentina,ARG,44938712,74.29490687
Armenia,ARM,2957731,68.24505226
American Samoa,ASM,55312,
Antigua and Barbuda,ATG,97118,73
Australia,AUS,25365745,86.54504885
Austria,AUT,8879920,87.75220479
Azerbaijan,AZE,10024283,79.79999549
Burundi,BDI,11530580,2.660748535
Belgium,BEL,11502704,90.37051309
Benin,BEN,11801151,14.11901233
Burkina Faso,BFA,20321378,15.87620691
Bangladesh,BGD,163046161,12.9
Bulgaria,BGR,6975761,67.94698094
Bahrain,BHR,1641172,99.70150438
"Bahamas, The",BHS,389482,85
Bosnia and Herzegovina,BIH,3301000,69.94634763
Belarus,BLR,9417849,82.78915209
Belize,BLZ,390353,47.0826258
Bermuda,BMU,64027,98.37
Bolivia,BOL,11513100,44.28614216
Brazil,BRA,211049527,70.43428254
Barbados,BRB,287025,81.76077839
Brunei Darussalam,BRN,433285,95
Bhutan,BTN,763092,41.77264453
Botswana,BWA,2303697,41.41379464
Central African Republic,CAF,4745185,4.339254945
Canada,CAN,37593384,92.70137191
Central Europe and the Baltics,CEB,102393110,80.23195993
Switzerland,CHE,8575280,93.14608695
Channel Islands,CHI,172259,
Chile,CHL,18952038,82.32748693
China,CHN,1397715000,54.3
Cote d'Ivoire,CIV,25716544,36.45378947
Cameroon,CMR,25876380,23.20297197
"Congo, Dem. Rep.",COD,86790567,8.619904916
"Congo, Rep.",COG,5380508,14.728621
Colombia,COL,50339443,65.00690072
Comoros,COM,850886,8.478170295
Cabo Verde,CPV,549935,57.16214635
Costa Rica,CRI,5047561,81.20259644
Caribbean small states,CSS,7401383,59.52475925
Cuba,CUB,11333483,61.83630006
Curacao,CUW,157441,68.12721625
Cayman Islands,CYM,64948,81.06769325
Cyprus,CYP,1198575,86.06362996
Czech Republic,CZE,10671870,80.86694441
Germany,DEU,83092962,88.13451691
Djibouti,DJI,973560,55.68140925
Dominica,DMA,71808,69.61966879
Denmark,DNK,5814422,98.04643475
Dominican Republic,DOM,10738958,74.82428986
Algeria,DZA,44616624,56.99256627
East Asia & Pacific (excluding high income),EAP,2093675040,50.99637914
Early-demographic dividend,EAR,3290291010,33.84901066
East Asia & Pacific,EAS,2340692030,54.9252289
Europe & Central Asia (excluding high income),ECA,399389236,79.03257087
Europe & Central Asia,ECS,921192974,83.96129949
Ecuador,ECU,17373662,54.06292473
"Egypt, Arab Rep.",EGY,100388073,57.28286878
Euro area,EMU,342671033,86.68836172
Eritrea,ERI,,1.30890698
Spain,ESP,47133521,90.71866533
Estonia,EST,1326898,89.53232756
Ethiopia,ETH,112078730,18.61805145
European Union,EUU,447580063,85.42912334
Fragile and conflict affected situations,FCS,798133217,18.91890661
Finland,FIN,5521606,89.60738511
Fiji,FJI,889953,49.96637301
France,FRA,67055854,83.33974409
Faroe Islands,FRO,48678,97.58195894
"Micronesia, Fed. Sts.",FSM,113815,35.30405287
Gabon,GAB,2172579,50.32012015
United Kingdom,GBR,66836327,92.51662855
Georgia,GEO,3720161,68.84671356
Ghana,GHA,30417856,37.88415262
Gibraltar,GIB,33701,94.44447158
Guinea,GIN,12771246,21.83002304
"Gambia, The",GMB,2347706,19.83645444
Guinea-Bissau,GNB,1920922,3.930509152
Equatorial Guinea,GNQ,1355986,26.23999996
Greece,GRC,10717169,75.67120669
Grenada,GRD,112003,59.07173536
Greenland,GRL,56225,69.48246178
Guatemala,GTM,16604026,40.70304908
Guam,GUM,167294,80.50546556
Guyana,GUY,782766,37.32583679
High income,HIC,1235991090,86.80128887
"Hong Kong SAR, China",HKG,7507400,91.74340039
Honduras,HND,9746117,32.13636364
Heavily indebted poor countries (HIPC),HPC,801708035,18.7867067
Croatia,HRV,4065253,79.07978368
Haiti,HTI,11263077,32.47362713
Hungary,HUN,9771141,80.37169361
IBRD only,IBD,4816229000,49.29986313
IDA & IBRD total,IBT,6486921530,42.24991903
IDA total,IDA,1670692530,18.48051163
IDA blend,IDB,561571902,16.14138912
Indonesia,IDN,270625568,47.69064898
IDA only,IDX,1109120628,19.91520395
India,IND,1366417754,20.08130004
Ireland,IRL,4934040,84.52230206
"Iran, Islamic Rep.",IRN,82913906,70.00455222
Iraq,IRQ,39309783,75.00000131
Iceland,ISL,360563,99.01095399
Israel,ISR,9054000,86.78787762
Italy,ITA,60302093,74.38718292
Jamaica,JAM,2948279,55.07206705
Jordan,JOR,10101694,66.79031443
Japan,JPN,126264931,91.28160849
Kazakhstan,KAZ,18513673,81.87762554
Kenya,KEN,52573973,22.56511937
